"","cutoff_index","FN_ALL"
"922",105200.59,700
"923",105199.984,701
"924",105134.19,702
"925",105022.11,703
"926",105019.78,704
"927",104866.02,705
"928",104840.83,705
"929",104724.14,706
"930",104701.36,707
"931",104472.59,707
"932",104405.53,708
"933",104389.65,709
"934",104382.125,709
"935",104123.984,710
"936",104012.75,711
"937",103984.2,712
"938",103944.7,713
"939",103944.37,714
"940",103912.57,715
"941",103910.89,716
"942",103910.11,717
"943",103909.234,718
"944",103616.94,719
"945",103609.09,720
"946",103605.68,720
"947",103524.59,721
"948",103406.94,722
"949",103325.46,723
"950",103292.43,723
"951",103219.37,724
"952",103204.99,725
"953",103200.836,726
"954",103184.1,726
"955",103161.766,727
"956",103124.52,728
"957",103102.055,729
"958",103075.695,730
"959",103073.3,731
"960",102794.66,732
"961",102767.445,733
"962",102695.695,734
"963",102636.625,735
"964",102558.04,736
"965",102488.95,737
"966",102487.11,738
"967",102443,739
"968",102237.61,740
"969",102218.484,741
"970",102187.79,742
"971",102159.5,743
"972",101982.53,744
"973",101843.86,745
"974",101794.52,746
"975",101726.91,746
"976",101709.83,747
"977",101709.39,748
"978",101683.125,749
"979",101672.19,750
"980",101671.9,751
"981",101659.21,752
"982",101575.75,753
"983",101424.6,754
"984",101393.48,755
"985",101341.44,756
"986",101307.46,757
"987",101280.42,758
"988",101265.94,758
"989",101221.33,759
"990",101205.37,760
"991",101167.34,761
"992",101093.7,762
"993",101052.4,763
"994",100986.66,763
"995",100954.04,763
"996",100871.2,764
"997",100842.02,765
"998",100808.41,766
"999",100777.55,766
"1000",100769.54,767
"1001",100754.22,768
"1002",100713.01,769
"1003",100680.836,770
"1004",100674.25,771
"1005",100548.76,772
"1006",100492.625,773
"1007",100477.42,774
"1008",100455.05,775
"1009",100440.1,776
"1010",100353.836,777
"1011",100201.28,778
"1012",100060.32,779
"1013",100013.555,780
"1014",99971,781
"1015",99965.11,782
"1016",99959.766,783
"1017",99958.26,784
"1018",99942.15,784
"1019",99936.75,784
"1020",99896.73,785
"1021",99838.9,786
"1022",99637.805,787
"1023",99540.77,788
"1024",99539.44,789
"1025",99517.516,790
"1026",99468.41,790
"1027",99439.26,791
"1028",99427.43,791
"1029",99426.92,792
"1030",99321.6,793
"1031",99274.586,794
"1032",99261,794
"1033",99210.35,795
"1034",99199.43,796
"1035",99148.14,797
"1036",99057.61,798
"1037",99017.9,799
"1038",98972.38,799
"1039",98952.75,800
"1040",98942.84,801
"1041",98839.43,802
"1042",98827.03,803
"1043",98801.445,804
"1044",98673.945,805
"1045",98648.32,806
"1046",98615.7,807
"1047",98534.3,808
"1048",98527.01,809
"1049",98481.586,810
"1050",98457.99,811
"1051",98415.59,811
